colct_stdde,goods_nm,shop_nm,anals_trget_pc,job_id
2020-02-07,QUQU 더안심 황사 미세먼지 방역 마스크 KF94,퍼니맘,3900,490008
2020-02-07,QUQU 더안심 황사 미세먼지 방역 마스크 KF94,한별기프트마켓,4500,490008
2020-02-07,더나은 KF94 미세먼지 황사 마스크 성인용,퍼니맘,3900,490008
2020-02-07,더나은 KF94 미세먼지 황사 마스크 성인용,에이치케이컴퍼니,4800,490008
2020-02-07,더나은 KF94 미세먼지 황사 마스크 성인용,위메프,5080,490008
2020-02-07,더나은 KF94 미세먼지 황사 마스크 성인용,G마켓,5110,490008
2020-02-07,더나은 KF94 미세먼지 황사 마스크 성인용,인터파크,5140,490008
2020-02-07,캐드원 하얀봄 미세먼지 황사 마스크 KF94,하얀봄,15800,490008
2020-02-07,캐드원 하얀봄 미세먼지 황사 마스크 KF94,G마켓,19630,490008
2020-02-07,캐드원 하얀봄 미세먼지 황사 마스크 KF94,위메프,19800,490008
2020-02-07,캐드원 하얀봄 미세먼지 황사 마스크 KF94,G9,21410,490008
2020-02-07,캐드원 하얀봄 미세먼지 황사 마스크 KF94,쿠팡,22900,490008
2020-02-07,애니쉴드 KF94 미세먼지 황사마스크 대형 블랙,주성N,3490,490008
2020-02-07,애니쉴드 KF94 미세먼지 황사마스크 대형 블랙,구스베이,73500,490008
2020-02-07,애니쉴드 KF94 미세먼지 황사마스크 대형 화이트,퍼니맘,3900,490008
2020-02-07,캐드원 6MASK KF94 황사 미세먼지 마스크 밸브형,트루스,13900,490008
2020-02-07,캐드원 6MASK KF94 황사 미세먼지 마스크 밸브형,좋은자전거,13900,490008
2020-02-07,캐드원 6MASK KF94 황사 미세먼지 마스크 밸브형,매일해,13900,490008
2020-02-07,캐드원 6MASK KF94 황사 미세먼지 마스크 밸브형,BIG딜,13900,490008
2020-02-07,캐드원 6MASK KF94 황사 미세먼지 마스크 밸브형,컴퓨존,13900,490008
2020-02-07,에어브리스 KF94 미세먼지 마스크,셀렉더마스크,19800,490008
2020-02-07,에어브리스 KF94 미세먼지 마스크,쿠팡,20000,490008
2020-02-07,에어브리스 KF94 미세먼지 마스크,옥션,21000,490008
2020-02-07,에어브리스 KF94 미세먼지 마스크,블랙벳,21800,490008
2020-02-07,에어브리스 KF94 미세먼지 마스크,11번가,23000,490008
2020-02-07,더조은 오토이 황사 미세먼지 마스크 KF94,정품할인샵,3500,490008
2020-02-07,더조은 닥터로드 황사 미세먼지 마스크 대형 KF94,퍼니맘,3900,490008
2020-02-07,피앤티디 웰킵스 스마트 황사 방역 마스크 대형 KF94,롯데마트,1400,490008
2020-02-07,코튼데이 휴 유기농 순면 방역마스크 KF94,롯데마트,850,490008
2020-02-07,일동제약 푸른숲 미세먼지 황사 마스크 여성용 KF94,DW그린케어,3500,490008
2020-02-07,퓨어럽 KF94 미세먼지 황사 마스크 성인용,퓨어럽,19800,490008
2020-02-07,퓨어럽 KF94 미세먼지 황사 마스크 성인용,바른잠연구소,21500,490008
2020-02-07,퓨어럽 KF94 미세먼지 황사 마스크 성인용,인터파크,21750,490008
2020-02-07,퓨어럽 KF94 미세먼지 황사 마스크 성인용,드림드랍,21900,490008
2020-02-07,퓨어럽 KF94 미세먼지 황사 마스크 성인용,11번가,22250,490008
2020-02-07,일양약품 뉴 미세먼지 황사 방역 마스크 KF94 대형,위메프,1950,490008
2020-02-07,인텍 종근당 후아마스크 오펜가드 KF94 본품,G마켓,13010,490008
2020-02-07,인텍 종근당 후아마스크 오펜가드 KF94 본품,옥션,13010,490008
